fixture_id,window_5min,tweet_count,mean_arousal,mean_valence,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral,dominant_emotion,mean_pressure,max_pressure,high_intensity_count,recent_high_intensity,period_label,match,kickoff_utc,home_team,away_team,derby,home_goals_final,away_goals_final
11867604,-30.0,5,0.37229278683662415,0.2932227011304348,0.14864329891279335,0.0023617920232936198,0.00159383759601038,0.00477369301952418,0.20929578244686123,0.05511366010177876,0.00234549818560476,0.0030524382833391,0.00659412126988166,0.0027607442112639,0.0033299657516180996,0.00152190218213942,0.00063503720448348,0.00833385041914876,0.0014136883313767398,0.0019464847864582799,0.00058006148319686,0.017559155775234057,0.0078935779863968,0.0007443893715389668,0.0458726422861218,0.0015663570433389,0.01022349260747426,0.00502099308650934,0.00062265978485806,0.00231434876332054,0.00130786631489168,0.6150202840566635,neutral,0.0,0.0,0,0,pre_match,Southampton vs Sheffield United,2020-07-26 15:00:00+00:00,Southampton,Sheffield United,0,3,1
16924597,-30.0,3,0.4032604992389679,0.1483872303118308,0.003570897737517866,0.0040077803423627665,0.0018367205436030333,0.004698428635795867,0.08889819681644436,0.003989284276030933,0.042389888626833704,0.3386986474506557,0.008501263995033934,0.0022486085460210665,0.003907283612837366,0.0011826718885761666,0.00048363785026590004,0.023907893570139966,0.0013723215864349999,0.0005825100912866999,0.00035431575573353333,0.0034050056128762333,0.006513976880038733,0.0007837835291865667,0.026673609390854797,0.00025520337173169644,0.010328704180816767,0.0005861720613514,0.0006334101102159333,0.0017095053335651,0.0035301329723248336,0.5684483448664347,curiosity,0.0,0.0,0,0,pre_match,Crystal Palace vs Southampton,2020-09-12 14:00:00+00:00,Crystal Palace,Southampton,0,1,0
16924603,-30.0,4,0.477405846118927,0.38074018742190674,0.09500588348601008,0.0036863128916592752,0.002102997910696975,0.004941858176607574,0.13258091988973314,0.002478874113876325,0.0038717106799594503,0.014884639182127976,0.011500492662889826,0.002315192279638675,0.00371081958292045,0.00182680760917715,0.000682019057421675,0.20875862427055833,0.00206757886917325,0.001886176796688175,0.00040016753700904996,0.00819045747630295,0.006238369096536149,0.00108191557956155,0.05467543622944499,0.001561434582981675,0.006655676756054125,0.0008290799087262251,0.000410808213928175,0.0014692590484628,0.0048249402607325,0.48504532128572464,neutral,0.0,0.0,0,0,pre_match,Brighton & Hove Albion vs Chelsea,2020-09-14 19:15:00+00:00,Brighton & Hove Albion,Chelsea,0,1,3
16924607,-30.0,3,0.44811447461446124,0.23499103635549537,0.010612364392727567,0.0014626179666568332,0.0019395417960670666,0.0067267975925157,0.04374579526484007,0.008705240713121933,0.05243035933623707,0.1653302458580583,0.2881243727946033,0.003526187463042566,0.0032508217263966335,0.0016606169519945667,0.00037558801705013333,0.007871820901830967,0.0013494980909550666,0.0016691809287294,0.00036732215085063337,0.0014902579908569332,0.004251224648517801,0.0007600294969354666,0.07189840373272693,0.0005237630515087001,0.005615803645923667,0.0005209329732072334,0.0006618346669710334,0.0015729053023581334,0.0033899204572662334,0.4613899638255437,neutral,0.0,0.0,0,0,pre_match,Chelsea vs Liverpool,2020-09-20 15:30:00+00:00,Chelsea,Liverpool,0,0,2
16924610,-30.0,6,0.3839521606763204,0.3080211708632608,0.10765749390702688,0.0016190567112061667,0.0015291827536808667,0.005829905586627567,0.08793640819688636,0.09090385271701958,0.014144540677079867,0.09125555092274829,0.0043457266292534335,0.0027857445141610663,0.004391881928313467,0.0011699310659119833,0.00047307677596103334,0.0035191400287051503,0.00093036777010025,0.08200859718878438,0.0006088763960481167,0.00569344575827315,0.015242153468231318,0.00041980775373906667,0.09986298263538625,0.002294614624891693,0.008329987525939884,0.0022287527535808497,0.0012939260050188334,0.00180870253825555,0.0010975143377435833,0.5335422232747078,neutral,0.0,0.0,0,0,pre_match,Leicester City vs Burnley,2020-09-20 18:00:00+00:00,Leicester City,Burnley,0,4,2
16924613,-30.0,4,0.34119434654712677,0.036503909446764654,0.002503835479728825,0.002249385113827825,0.002485846460331175,0.006706613348796925,0.028962869429960802,0.00236276452778835,0.02505360788200045,0.1295795817277394,0.002374717761995225,0.002885074383811975,0.003588436404243075,0.0018881779396905751,0.0006820759226684,0.0029389638220891,0.001491981965955275,0.00076090212678535,0.00041370098915644997,0.0017552125791553,0.002657501550856925,0.00045899122051190004,0.00582351640332485,0.00030034388873895716,0.0072479299269616,0.000357147539034475,0.000451164654805275,0.002054916258202825,0.001490849914262025,0.8604795783758163,neutral,0.0,0.0,0,0,pre_match,Southampton vs Tottenham Hotspur,2020-09-20 11:00:00+00:00,Southampton,Tottenham Hotspur,0,2,5
16924616,-30.0,3,0.39119967818260193,0.26320348183313996,0.0060653648494432,0.16295689274556932,0.0013716760052678335,0.0074561862275004,0.1415062183514237,0.004886945554365666,0.0020775875309481666,0.0019888667156919334,0.0036817780152584,0.005938001830751633,0.005619787766287666,0.0014888263346316333,0.0007415730312155666,0.002971279551275033,0.0011868090271794,0.0007353228914628333,0.0004025289429894333,0.0385882933236037,0.003961607115343133,0.0007873041225441333,0.04029283781225476,0.0005942061640477,0.0192668815143406,0.0010897597724881666,0.0008455227459004334,0.003960806643590266,0.0007091461253972667,0.6133908232053121,neutral,0.0,0.0,0,0,pre_match,Burnley vs Southampton,2020-09-26 19:00:00+00:00,Burnley,Southampton,0,0,1
16924623,-30.0,7,0.34742054768971037,0.1207420704886317,0.010446111239226742,0.0031939314711572284,0.0038827647887435856,0.011558207916095813,0.08182507327624725,0.001463514420070757,0.0032236317139384715,0.0021166607454817716,0.003634445369243586,0.004731453289943029,0.00860844108475633,0.0022954321715847287,0.0007474203968220573,0.007789738027245814,0.0009990558360835858,0.0013798127641036142,0.00045121196723935716,0.0058490256612587855,0.05450491312824717,0.0004323736149151857,0.006196746868746572,0.0015829793389586712,0.018585475361240715,0.0015059718196945,0.0005222964225269999,0.0021855843702463574,0.001942865359264243,0.7926521684442248,neutral,0.0,0.0,0,0,pre_match,West Bromwich Albion vs Chelsea,2020-09-26 16:30:00+00:00,West Bromwich Albion,Chelsea,0,3,3
16924627,-30.0,13,0.3906883734923143,0.08121564058372033,0.051882690929162915,0.0021415075752883616,0.0029860782266880694,0.012228887958022223,0.06044653058052059,0.002773923100903577,0.1403643342111116,0.10985147157379496,0.0037582277974041694,0.015506118616590663,0.009877554848431922,0.0018780772896626308,0.0012859441765332691,0.025406793633010207,0.0015966273696483616,0.001070165527590423,0.000554142496324677,0.003613562166440054,0.006346745165781278,0.0010091392524862232,0.009826070190264,0.0010149939491663875,0.015329320843403115,0.0007219333369553077,0.001204201911325323,0.004509584521516531,0.002757515319479731,0.6235446035861969,neutral,0.0,0.0,0,0,pre_match,Chelsea vs Crystal Palace,2020-10-03 11:30:00+00:00,Chelsea,Crystal Palace,0,4,0
16924632,-30.0,4,0.3487608656287193,-0.0672771039535292,0.0029739481396972747,0.002582434739451825,0.002929472029791175,0.035445904941298026,0.06705083325505255,0.0023083827400113997,0.003019452386069975,0.004069349233759525,0.00294066540664055,0.1237891562050208,0.012588883721036774,0.0022617017530137,0.00136875578755275,0.004767926671775001,0.00116455930401565,0.000660812875139475,0.0007827276094757751,0.0037412241799756503,0.0043998977926094,0.0012237784612806751,0.00649386201985175,0.000406042134272825,0.008844318566843826,0.0009290053785661501,0.0011598417549975502,0.03262088078190568,0.0011679398012347001,0.753265343606472,neutral,0.0,0.0,0,0,pre_match,Newcastle United vs Burnley,2020-10-03 19:00:00+00:00,Newcastle United,Burnley,0,3,1
