fixture_id,match,window_5min,period_label,receptivity_score,ad_label,dominant_emotion,mean_arousal,mean_valence,mean_pressure,tweet_count,high_intensity_count,recent_high_intensity
16924603,Brighton & Hove Albion vs Chelsea,10.0,1st_half,0.8504347038269042,AD_SAFE,neutral,0.37391324043273927,0.18831749055534602,0.0,5,0,0
16924603,Brighton & Hove Albion vs Chelsea,45.0,2nd_half,0.8482584369659424,AD_SAFE,neutral,0.37635390758514403,0.058571573835797586,0.3,10,0,0
16924603,Brighton & Hove Albion vs Chelsea,95.0,2nd_half,0.8435513643118051,AD_SAFE,neutral,0.3911215892204872,0.10509175266354129,0.0,13,0,0
16924607,Chelsea vs Liverpool,-15.0,pre_match,0.8584905573299952,AD_SAFE,neutral,0.3537736066750118,0.024626541200892173,0.0,7,0,0
16924607,Chelsea vs Liverpool,-5.0,pre_match,0.8627267735345023,AD_SAFE,neutral,0.3431830661637442,0.040882161951490754,0.0,7,0,0
16924607,Chelsea vs Liverpool,10.0,1st_half,0.8696741729974746,AD_SAFE,neutral,0.3258145675063133,0.03951956666423932,0.0,4,0,0
16924607,Chelsea vs Liverpool,20.0,1st_half,0.8424473834037781,AD_SAFE,neutral,0.39388154149055477,0.2003983929753303,0.0,5,0,0
16924610,Leicester City vs Burnley,-25.0,pre_match,0.8731480062007904,AD_SAFE,neutral,0.317129984498024,0.00374740106053645,0.0,2,0,0
16924610,Leicester City vs Burnley,-15.0,pre_match,0.8636532485485077,AD_SAFE,neutral,0.3408668786287308,0.051288928254507454,0.0,2,0,0
16924610,Leicester City vs Burnley,0.0,1st_half,0.8712174534797669,AD_SAFE,neutral,0.32195636630058283,0.0489827686687931,0.0,4,0,0
16924610,Leicester City vs Burnley,30.0,1st_half,0.8385205047471183,AD_SAFE,neutral,0.4036987381322043,0.2578190409445337,0.0,14,0,0
16924613,Southampton vs Tottenham Hotspur,-30.0,pre_match,0.8635222613811493,AD_SAFE,neutral,0.34119434654712677,0.036503909446764654,0.0,4,0,0
16924613,Southampton vs Tottenham Hotspur,0.0,1st_half,0.8734998106956482,AD_SAFE,neutral,0.3162504732608795,0.0080696819350123,0.0,1,0,0
16924613,Southampton vs Tottenham Hotspur,15.0,1st_half,0.8680992722511292,AD_SAFE,neutral,0.3297518193721771,0.0375590093899518,0.0,2,0,0
16924613,Southampton vs Tottenham Hotspur,100.0,2nd_half,0.8627727687358856,AD_SAFE,neutral,0.34306807816028595,0.06969516305252907,0.0,4,0,0
16924614,Wolverhampton Wanderers vs Manchester City,85.0,2nd_half,0.8344583363930385,AD_SAFE,neutral,0.4038541590174039,0.10287630306993377,1.0,24,0,0
16924614,Wolverhampton Wanderers vs Manchester City,105.0,2nd_half,0.8279769800958179,AD_SAFE,neutral,0.4300575497604552,0.1429475096187421,0.0,21,0,0
16924614,Wolverhampton Wanderers vs Manchester City,115.0,2nd_half,0.8111664414405823,AD_SAFE,neutral,0.4720838963985443,0.5945670555035273,0.0,3,0,0
16924616,Burnley vs Southampton,-20.0,pre_match,0.8589136838912964,AD_SAFE,neutral,0.35271579027175903,0.056866765022277804,0.0,2,0,0
16924616,Burnley vs Southampton,-10.0,pre_match,0.8672305822372437,AD_SAFE,neutral,0.33192354440689087,0.06382138677872713,0.0,4,0,0
16924616,Burnley vs Southampton,25.0,1st_half,0.8663637042045593,AD_SAFE,neutral,0.3340907394886017,0.1347706764936447,0.0,1,0,0
16924616,Burnley vs Southampton,55.0,2nd_half,0.8680150926113128,AD_SAFE,neutral,0.32996226847171783,0.0007054358720779523,0.0,2,0,0
16924617,Crystal Palace vs Everton,70.0,2nd_half,0.843584607287151,AD_SAFE,neutral,0.39103848178212236,0.09480735293884829,0.0,41,0,0
16924617,Crystal Palace vs Everton,85.0,2nd_half,0.8392614991314006,AD_SAFE,neutral,0.39584625217149844,0.0588788163545102,0.6,53,0,0
16924617,Crystal Palace vs Everton,105.0,2nd_half,0.8419418212913331,AD_SAFE,neutral,0.39514544677166713,0.03207638660179716,0.0,42,0,0
16924617,Crystal Palace vs Everton,115.0,2nd_half,0.8558289647102356,AD_SAFE,neutral,0.360427588224411,0.2089549601078033,0.0,1,0,0
16924620,Manchester City vs Leicester City,110.0,2nd_half,0.8181671844192998,AD_SAFE,neutral,0.4545820389517504,0.31047655110952876,0.0,201,0,0
16924623,West Bromwich Albion vs Chelsea,-30.0,pre_match,0.8610317809241158,AD_SAFE,neutral,0.34742054768971037,0.1207420704886317,0.0,7,0,0
16924623,West Bromwich Albion vs Chelsea,-10.0,pre_match,0.8663510322570801,AD_SAFE,neutral,0.3341224193572998,0.059377757211526216,0.0,6,0,0
16924623,West Bromwich Albion vs Chelsea,10.0,1st_half,0.8365019783284515,AD_SAFE,neutral,0.3595912128686905,-0.09830768262036145,0.0,10,0,0
16924623,West Bromwich Albion vs Chelsea,20.0,1st_half,0.8234904031641781,AD_SAFE,neutral,0.3994640648365021,-0.08361985450610522,0.0,10,0,0
16924627,Chelsea vs Crystal Palace,-15.0,pre_match,0.8607039213180542,AD_SAFE,neutral,0.3482401967048645,0.1528431252809241,0.0,7,0,0
16924627,Chelsea vs Crystal Palace,15.0,1st_half,0.8634122967720032,AD_SAFE,neutral,0.341469258069992,0.2044550776481628,0.0,1,0,0
16924627,Chelsea vs Crystal Palace,25.0,1st_half,0.8731596350669861,AD_SAFE,neutral,0.3171009123325348,0.0088580474257469,0.0,1,0,0
16924627,Chelsea vs Crystal Palace,35.0,1st_half,0.8672864347696304,AD_SAFE,neutral,0.3317839130759239,0.05927354248706246,0.0,4,0,0
16924628,Everton vs Brighton & Hove Albion,65.0,2nd_half,0.8343385342065026,AD_SAFE,neutral,0.4111536644837436,0.12495673181804116,0.3,34,0,0
16924628,Everton vs Brighton & Hove Albion,85.0,2nd_half,0.8284652041834454,AD_SAFE,neutral,0.42883698954138644,0.22383573930710554,0.0,43,0,0
16924629,Leeds United vs Manchester City,110.0,2nd_half,0.8128734595245786,AD_SAFE,neutral,0.4678163511885537,0.0954910391849774,0.0,216,0,0
16924630,Leicester City vs West Ham United,45.0,2nd_half,0.8103445658327969,AD_SAFE,neutral,0.4340364011851224,-0.08020436846577056,0.0,33,0,0
16924630,Leicester City vs West Ham United,60.0,2nd_half,0.8368625565846761,AD_SAFE,neutral,0.40484360853830975,0.12094200302713684,0.3,21,0,0
16924630,Leicester City vs West Ham United,70.0,2nd_half,0.8535856423706843,AD_SAFE,neutral,0.366035894073289,0.04842855544070358,0.0,29,0,0
16924630,Leicester City vs West Ham United,110.0,2nd_half,0.8194272595293381,AD_SAFE,neutral,0.4514318511766546,0.11363121504665982,0.0,102,0,0
16924632,Newcastle United vs Burnley,-25.0,pre_match,0.8564799666404724,AD_SAFE,neutral,0.35880008339881897,0.0495126657187938,0.0,2,0,0
16924632,Newcastle United vs Burnley,-10.0,pre_match,0.8588912081718445,AD_SAFE,neutral,0.35277197957038875,0.05928687453269954,0.0,5,0,0
16924632,Newcastle United vs Burnley,25.0,1st_half,0.8489783587865531,AD_SAFE,neutral,0.3733782172203064,-0.008351771626621502,0.0,2,0,0
16924632,Newcastle United vs Burnley,35.0,1st_half,0.8659705204963684,AD_SAFE,neutral,0.315073698759079,0.0165290236473083,2.0,1,0,0
16924633,Southampton vs West Bromwich Albion,-10.0,pre_match,0.8736104011535645,AD_SAFE,neutral,0.3159739971160888,0.0046209408901631,0.0,1,0,0
16924633,Southampton vs West Bromwich Albion,30.0,1st_half,0.873707389831543,AD_SAFE,neutral,0.3157315254211426,0.0041887578554451,0.0,1,0,0
16924633,Southampton vs West Bromwich Albion,85.0,2nd_half,0.8706422984600067,AD_SAFE,neutral,0.3233942538499832,0.04330303426831955,0.0,2,0,0
16924633,Southampton vs West Bromwich Albion,100.0,2nd_half,0.8731141924858093,AD_SAFE,neutral,0.3172145187854767,0.0317951999604702,0.0,1,0,0
