fixture_id,match,kickoff_utc,gameweek,home_team,away_team,derby,derby_name,home_position_pre,away_position_pre,home_points_pre,away_points_pre,home_gd_pre,away_gd_pre,home_goals_pre,away_goals_pre,home_goals_final,away_goals_final,row_type,row_type_priority,minute_sort,minute,extra_minute,minute_label,participant_id,participant_name,participant_location,player_id,player_name,related_player_id,related_player_name,event_category,event_type_name,event_type_code,info,addition,period_label,time_added_minutes,first_half_added_minutes,second_half_added_minutes,whistle_type,whistle_utc,pressure_value,row_sequence_in_match,row_sequence_global
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,66.0,66.0,,66,14.0,Manchester United,away,4536527.0,Brandon Williams,5252.0,Aaron Wan-Bissaka,substitution,Substitution,substitution,,,,,0.0,,,,,15,31
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,71.0,71.0,,71,14.0,Manchester United,away,205411.0,Fred,129602.0,Bruno Fernandes,substitution,Substitution,substitution,,,,,0.0,,,,,16,32
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,79.0,79.0,,79,14.0,Manchester United,away,1248.0,Odion Ighalo,1829.0,Anthony Martial,substitution,Substitution,substitution,,,,,0.0,,,,,17,33
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,79.0,79.0,,79,14.0,Manchester United,away,5149.0,Daniel James,20333643.0,Mason Greenwood ,substitution,Substitution,substitution,,,,,0.0,,,,,18,34
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,81.0,81.0,,81,15.0,Aston Villa,home,25126.0,M. Nakamba,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,19,35
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,84.0,84.0,,84,15.0,Aston Villa,home,5640883.0,I. Vassilev,225000.0,Douglas Luiz,substitution,Substitution,substitution,,,,,0.0,,,,,20,36
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,event,4,87.0,87.0,,87,14.0,Manchester United,away,205411.0,Fred,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,21,37
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,,,,,,,,,,0,3,whistle,5,90.0,90.0,,,,,,,,,,,,,,,,,0.0,,full_time,2020-07-09 21:00:00+00:00,,22,38
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,pre_match,0,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,1,39
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,period,2,0.0,0.0,,,,,,,,,,period,period,,,,1st_half,0.0,0.0,,,,,2,40
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,14.0,14.0,,14,65.0,Southampton,away,172357.0,Stuart Armstrong,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,3,41
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,28.0,28.0,,28,65.0,Southampton,away,1155.0,James Ward-Prowse,,,penalty,Missed Penalty,missed_penalty,Woodwork,Missed Penalty,,,0.0,,,,,4,42
