fixture_id,match,kickoff_utc,gameweek,home_team,away_team,derby,row_type,effective_minute,minute,extra_minute,minute_label,event_category,event_type_name,event_type_code,participant_name,participant_location,player_name,related_player_name,info,period_label,pressure_value,is_high_intensity,home_goals_final,away_goals_final,whistle_type,whistle_utc,time_added_minutes,row_sequence_in_match
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,whistle,45.0,45.0,0.0,,,,,,,,,,,0.0,False,1,1,half_time,2020-07-09 17:45:00+00:00,,10
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,46.0,46.0,0.0,46,substitution,Substitution,substitution,Everton,home,Djibril Sidibé,Alex Iwobi,,,0.0,False,1,1,,,,11
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,46.0,45.0,1.0,45+1,card,Yellowcard,yellowcard,Everton,home,Richarlison,,Foul,,0.0,False,1,1,,,,12
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,46.0,45.0,1.0,45+1,card,Yellowcard,yellowcard,Everton,home,Dominic Calvert-Lewin,,Argument,,0.0,False,1,1,,,,13
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,61.0,61.0,0.0,61,card,Yellowcard,yellowcard,Southampton,away,Jan Bednarek,,Foul,,0.0,False,1,1,,,,14
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,68.0,68.0,0.0,68,substitution,Substitution,substitution,Everton,home,Moise Kean,Dominic Calvert-Lewin,,,0.0,False,1,1,,,,15
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,69.0,69.0,0.0,69,substitution,Substitution,substitution,Southampton,away,Pierre-Emile Höjbjerg ,Oriol Romeu,,,0.0,False,1,1,,,,16
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,70.0,70.0,0.0,70,substitution,Substitution,substitution,Southampton,away,Ingo Goetze,Ché Adams,,,0.0,False,1,1,,,,17
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,74.0,74.0,0.0,74,substitution,Substitution,substitution,Everton,home,Bernard,A. Gordon,,,0.0,False,1,1,,,,18
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,88.0,88.0,0.0,88,substitution,Substitution,substitution,Southampton,away,W. Smallbone,Stuart Armstrong,,,0.0,False,1,1,,,,19
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,whistle,90.0,90.0,0.0,,,,,,,,,,,0.0,False,1,1,full_time,2020-07-09 18:45:00+00:00,,20
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,91.0,90.0,1.0,90+1,card,Yellowcard,yellowcard,Everton,home,L. Digne,,Argument,,0.0,False,1,1,,,,21
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,pre_match,0.0,,0.0,,,,,,,,,,,0.0,False,4,1,,,,1
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,period,0.0,0.0,0.0,,period,period,,,,,,,1st_half,0.0,False,4,1,,,0.0,2
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,event,16.0,16.0,0.0,16,substitution,Substitution,substitution,Leicester City,away,Ryan Bennett,Marc Albrighton,,,0.0,False,4,1,,,,3
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,event,23.0,23.0,0.0,23,goal,Goal,goal,Leicester City,away,Jamie Vardy,,,,0.0,True,4,1,,,,4
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,event,32.0,32.0,0.0,32,card,Yellowcard,yellowcard,AFC Bournemouth,home,Dan Gosling,,Foul,,0.0,False,4,1,,,,5
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,event,40.0,40.0,0.0,40,substitution,Substitution,substitution,AFC Bournemouth,home,Steve Cook,Nathan Aké,,,0.0,False,4,1,,,,6
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,period,45.0,45.0,0.0,,period,period,,,,,,,2nd_half,0.0,False,4,1,,,,7
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,whistle,45.0,45.0,0.0,,,,,,,,,,,0.0,False,4,1,half_time,2020-07-12 18:45:00+00:00,,8
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,event,46.0,46.0,0.0,46,substitution,Substitution,substitution,AFC Bournemouth,home,Junior Stanislas,Arnaut Danjuma,,,0.0,False,4,1,,,,9
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,event,46.0,46.0,0.0,46,substitution,Substitution,substitution,AFC Bournemouth,home,Philip Billing,Dan Gosling,,,0.0,False,4,1,,,,10
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,event,46.0,46.0,0.0,46,substitution,Substitution,substitution,Leicester City,away,Dennis Praet ,Kelechi Iheanacho,,,0.0,False,4,1,,,,11
